Time(0.1s),J2_Torque(Nm),J3_Torque(Nm)
0.0,174.0000,-194.0000
0.1,174.0000,-194.0000
0.2,174.0000,-194.0000
0.3,175.0000,-194.0000
0.4,174.0000,-194.0000
0.5,175.0000,-194.0000
0.6,175.0000,-194.0000
0.7,175.0000,-194.0000
0.8,174.0000,-194.0000
0.9,174.0000,-194.0000
1.0,174.0000,-194.0000
1.1,176.0000,-194.0000
1.2,175.0000,-194.0000
1.3,175.0000,-194.0000
1.4,175.0000,-194.0000
1.5,174.0000,-194.0000
1.7,175.0000,-194.0000
1.8,174.0000,-194.0000
1.8,174.0000,-194.0000
1.9,175.0000,-194.0000
2.0,174.0000,-194.0000
2.1,174.0000,-194.0000
2.2,175.0000,-194.0000
2.3,174.0000,-194.0000
2.4,174.0000,-194.0000
2.5,174.0000,-194.0000
2.6,174.0000,-194.0000
2.7,176.0000,-194.0000
2.8,175.0000,-194.0000
2.9,175.0000,-194.0000
3.0,175.0000,-194.0000
3.1,174.0000,-194.0000
3.2,174.0000,-193.0000
3.3,174.0000,-193.0000
3.4,175.0000,-193.0000
3.5,175.0000,-193.0000
3.7,175.0000,-193.0000
3.8,175.0000,-193.0000
3.9,175.0000,-193.0000
4.0,174.0000,-193.0000
4.0,175.0000,-193.0000
4.2,174.0000,-193.0000
4.2,174.0000,-193.0000
4.3,174.0000,-193.0000
4.4,174.0000,-193.0000
4.5,174.0000,-193.0000
4.6,174.0000,-193.0000
4.7,174.0000,-193.0000
4.9,174.0000,-193.0000
4.9,174.0000,-193.0000
5.1,174.0000,-193.0000
5.1,174.0000,-193.0000
5.2,174.0000,-193.0000
5.4,174.0000,-193.0000
5.5,175.0000,-193.0000
5.5,175.0000,-193.0000
5.6,175.0000,-193.0000
5.7,175.0000,-193.0000
5.8,174.0000,-193.0000
5.9,174.0000,-193.0000
6.0,175.0000,-193.0000
6.1,174.0000,-194.0000
6.2,175.0000,-194.0000
6.3,174.0000,-194.0000
6.4,175.0000,-194.0000
6.5,175.0000,-194.0000
6.6,174.0000,-194.0000
6.7,174.0000,-194.0000
6.8,176.0000,-194.0000
6.9,175.0000,-194.0000
7.0,175.0000,-194.0000
7.1,174.0000,-194.0000
7.2,175.0000,-194.0000
7.3,174.0000,-194.0000
7.4,174.0000,-194.0000
7.5,174.0000,-194.0000
7.6,174.0000,-194.0000
7.7,174.0000,-194.0000
7.8,175.0000,-194.0000
7.9,175.0000,-194.0000
8.0,174.0000,-194.0000
8.1,175.0000,-194.0000
8.2,175.0000,-194.0000
8.3,174.0000,-194.0000
8.4,175.0000,-194.0000
8.5,174.0000,-194.0000
8.6,174.0000,-194.0000
8.7,174.0000,-194.0000
8.8,174.0000,-194.0000
8.9,174.0000,-194.0000
9.0,174.0000,-194.0000
9.1,174.0000,-194.0000
9.2,174.0000,-194.0000
9.3,174.0000,-194.0000
9.4,174.0000,-194.0000
9.5,174.0000,-194.0000
9.6,175.0000,-194.0000
9.7,175.0000,-194.0000
9.8,174.0000,-194.0000
9.9,174.0000,-194.0000
10.0,174.0000,-194.0000
10.1,174.0000,-194.0000
10.2,174.0000,-195.0000
10.3,175.0000,-195.0000
10.4,174.0000,-195.0000
10.5,174.0000,-195.0000
10.6,174.0000,-195.0000
10.7,175.0000,-195.0000
10.8,174.0000,-194.0000
10.9,174.0000,-194.0000
11.0,174.0000,-194.0000
11.1,174.0000,-194.0000
11.2,174.0000,-194.0000
11.3,174.0000,-194.0000
11.4,174.0000,-194.0000
11.5,174.0000,-194.0000
11.6,175.0000,-194.0000
11.7,175.0000,-194.0000
11.8,175.0000,-194.0000
11.9,174.0000,-194.0000
12.0,174.0000,-195.0000
12.1,175.0000,-195.0000
12.2,174.0000,-195.0000
12.3,174.0000,-195.0000
12.4,174.0000,-195.0000
12.5,174.0000,-195.0000
12.6,174.0000,-195.0000
12.7,174.0000,-195.0000
12.8,174.0000,-195.0000
12.9,174.0000,-195.0000
13.0,174.0000,-195.0000
13.1,174.0000,-195.0000
13.2,174.0000,-195.0000
13.3,174.0000,-195.0000
13.4,175.0000,-195.0000
13.5,175.0000,-195.0000
13.6,174.0000,-195.0000
13.7,174.0000,-195.0000
13.8,175.0000,-195.0000
13.9,174.0000,-195.0000
14.0,175.0000,-195.0000
14.1,175.0000,-195.0000
14.3,174.0000,-195.0000
14.3,174.0000,-195.0000
14.4,174.0000,-195.0000
14.5,174.0000,-195.0000
14.7,174.0000,-195.0000
14.8,174.0000,-195.0000
14.9,174.0000,-195.0000
14.9,174.0000,-195.0000
15.0,174.0000,-195.0000
15.1,174.0000,-195.0000
15.2,174.0000,-195.0000
15.3,174.0000,-195.0000
15.4,174.0000,-195.0000
15.5,174.0000,-195.0000
15.6,175.0000,-195.0000
15.8,174.0000,-195.0000
15.8,174.0000,-195.0000
15.9,174.0000,-195.0000
16.0,174.0000,-195.0000
16.1,175.0000,-195.0000
16.2,175.0000,-195.0000
16.3,175.0000,-195.0000
16.4,175.0000,-195.0000
16.5,175.0000,-195.0000
16.6,175.0000,-195.0000
16.7,174.0000,-195.0000
16.8,174.0000,-195.0000
16.9,175.0000,-195.0000
17.0,174.0000,-195.0000
17.1,175.0000,-195.0000
17.2,174.0000,-195.0000
17.3,174.0000,-195.0000
17.4,175.0000,-195.0000
17.5,176.0000,-195.0000
17.6,174.0000,-195.0000
17.7,174.0000,-195.0000
17.8,175.0000,-195.0000
17.9,174.0000,-195.0000
18.0,174.0000,-195.0000
18.1,175.0000,-195.0000
18.2,175.0000,-195.0000
18.3,174.0000,-195.0000
18.4,175.0000,-195.0000
18.5,174.0000,-195.0000
18.6,175.0000,-195.0000
18.7,175.0000,-194.0000
18.8,175.0000,-194.0000
18.9,175.0000,-194.0000
19.0,175.0000,-194.0000
19.1,175.0000,-194.0000
19.2,174.0000,-194.0000
19.3,174.0000,-194.0000
19.4,175.0000,-193.0000
19.5,175.0000,-193.0000
19.6,174.0000,-193.0000
19.7,175.0000,-194.0000
19.8,175.0000,-194.0000
19.9,174.0000,-194.0000
20.0,175.0000,-194.0000
20.1,174.0000,-194.0000
20.2,175.0000,-194.0000
20.3,175.0000,-194.0000
20.4,174.0000,-194.0000
20.5,175.0000,-194.0000
20.6,175.0000,-194.0000
20.7,176.0000,-194.0000
20.8,175.0000,-194.0000
20.9,174.0000,-194.0000
21.0,175.0000,-194.0000
21.1,174.0000,-194.0000
21.2,175.0000,-194.0000
21.3,175.0000,-193.0000
21.4,174.0000,-193.0000
21.5,174.0000,-193.0000
21.6,174.0000,-193.0000
21.7,175.0000,-193.0000
21.8,174.0000,-193.0000
21.9,174.0000,-193.0000
22.0,175.0000,-193.0000
22.1,175.0000,-193.0000
22.2,175.0000,-193.0000
22.3,174.0000,-193.0000
22.4,175.0000,-193.0000
22.5,174.0000,-193.0000
22.6,174.0000,-193.0000
22.7,174.0000,-193.0000
22.8,174.0000,-193.0000
22.9,175.0000,-193.0000
23.0,175.0000,-193.0000
23.1,174.0000,-193.0000
23.2,175.0000,-193.0000
23.3,175.0000,-193.0000
23.4,174.0000,-193.0000
23.5,174.0000,-193.0000
23.6,175.0000,-193.0000
23.7,174.0000,-193.0000
23.8,175.0000,-193.0000
24.0,175.0000,-193.0000
24.0,175.0000,-193.0000
24.1,176.0000,-193.0000
24.2,174.0000,-193.0000
24.3,174.0000,-193.0000
24.4,175.0000,-193.0000
24.5,174.0000,-193.0000
24.6,174.0000,-193.0000
24.7,176.0000,-193.0000
24.8,175.0000,-193.0000
24.9,175.0000,-194.0000
25.1,174.0000,-194.0000
25.1,175.0000,-194.0000
25.2,175.0000,-194.0000
25.3,175.0000,-194.0000
25.4,175.0000,-194.0000
